company_name,company_slug,website,yc_directory_url,all_locations,regions,is_hiring,detected_board_type,trackability,selected_url,evidence
Lighthouz AI,lighthouz-ai,https://lighthouz.ai/,https://www.ycombinator.com/companies/lighthouz-ai,"San Francisco, CA, USA",United States of America;America / Canada,true,,unknown,https://lighthouz.ai/,no_careers_surface_detected
LineLeap,lineleap,https://www.lineleap.com/,https://www.ycombinator.com/companies/lineleap,"New York, NY, USA",United States of America;America / Canada;Remote;Partly Remote,true,greenhouse,api_native,https://www.lineleap.com/about#careers,greenhouse.io
LiteLLM,litellm,https://www.litellm.ai/,https://www.ycombinator.com/companies/litellm,"San Francisco, CA, USA",United States of America;America / Canada,true,ashby,api_native,https://www.litellm.ai/,jobs.ashbyhq.com
Liva AI,liva-ai,https://www.theliva.ai,https://www.ycombinator.com/companies/liva-ai,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,,custom_page,https://www.theliva.ai/open-positions/,custom_careers_page
LiveFlow,liveflow,https://www.liveflow.com,https://www.ycombinator.com/companies/liveflow,"New York, NY, USA",United States of America;America / Canada;Remote;Partly Remote,true,,unknown,https://liveflow.com/,no_careers_surface_detected
Living Carbon,living-carbon,https://www.livingcarbon.com,https://www.ycombinator.com/companies/living-carbon,"San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,lever,api_native,https://www.livingcarbon.com/about#careers,lever.co
Lob,lob,http://lob.com,https://www.ycombinator.com/companies/lob,"New York City, NY, USA; San Francisco, CA, USA",United States of America;America / Canada;Remote;Partly Remote,true,greenhouse,api_native,https://www.lob.com/careers,greenhouse.io
Locata,locata,https://www.locatahealth.com/,https://www.ycombinator.com/companies/locata,"New York City, NY, USA",United States of America;America / Canada,true,,custom_page,https://locatahealth.com/careers,custom_careers_page
LootRush,lootrush,https://www.lootrush.com,https://www.ycombinator.com/companies/lootrush,"San Francisco, CA, USA; Remote",United States of America;America / Canada;Remote;Fully Remote,true,,unknown,https://www.lootrush.com,homepage_fetch_failed:HTTPError
Loula,loula,https://joinloula.com,https://www.ycombinator.com/companies/loula,"New York, NY, USA",United States of America;America / Canada;Remote;Partly Remote,true,ashby,api_native,https://joinloula.com/,jobs.ashbyhq.com
